name,team
BERNARDO SILVA,Manchester City
SAMI KHEDIRA,Juventus
SADIO MANE,LIVERPOOL
DANI ALVES,PSG
MARCO ASENSIO,Real Madrid
FALCAO,Monaco
MAURO ICARDI,Inter
DELE ALLI,Tottenham
BERND LENO,Bayer Leverkusen
CLAUDIO MARCHISIO,Juventus
STEPHANE RUFFIER,Saint-Etienne
ILKAY GUNDOGAN,Manchester City
DANIJEL SUBASIC,Monaco
RAPHAEL VARANE,Real Madrid
KAMIL GLIK,Monaco
ANDREA BARZAGLI,Juventus
VINCENT KOMPANY,Manchester City
HENRIKH MKHITARYAN,Manchester United
YANNICK CARRASCO,Atletico Madrid
MARC-ANDRE TER STEGEN,Barcelona
JAN VERTONGHEN,Tottenham
ANGEL DI MARIA,PSG
FILIPE LUIS,Atletico Madrid
LORENZO INSIGNE,Napoli
CESAR AZPILICUETA,Chelsea
MIRALEM PJANIC,Juventus
JORDI ALBA,Barcelona
KEYLOR NAVAS,Real Madrid
BLAISE MATUIDI,Juventus
CASEMIRO,Real Madrid
ALEXANDRE LACAZETTE,Arsenal
MIRANDA,Inter Milan
PEPE,Besiktas
DAVID ALABA,Bayern Munich
PETR CECH,Arsenal
JAVI MARTINEZ,Bayern Munich
MARCO REUS,Borussia Dortmund
DIEGO COSTA,Chelsea
SOKRATIS,Borussia Dortmund
FRANCK RIBERY,Bayern Munich
DAVID LUIZ,Chelsea
SERGIO BUSQUETS,Barcelona
JAMES RODRIGUEZ,Bayern Munich
TOBY ALDERWEIRELD,Tottenham
KARIM BENZEMA,Real Madrid
CESC FABREGAS,Chelsea
ISCO,Real Madrid
HARRY KANE,Tottenham
ALEX SANDRO,Juventus
PHILIPPE COUTINHO,Liverpool
RADJA NAINGGOLAN,Roma
DRIES MERTENS,Napoli
ROMELU LUKAKU,Manchester United
THOMAS MULLER,Bayern Munich
SAMIR HANDANOVIC,Inter
ANDRES INIESTA,Barcelona
IVAN RAKITIC,Barcelona
DAVID SILVA,Manchester City
GERARD PIQUE,Barcelona
MAREK HAMSIK,Napoli
CHRISTIAN ERIKSEN,Tottenham
ARTURO VIDAL,Bayern Munich
MARCELO,Real Madrid
EDINSON CAVANI,PSG
PAUL POGBA,Manchester United
N'GOLO KANTE,Chelsea
MARCO VERRATTI,PSG
JEROME BOATENG,Bayern Munich
MESUT OZIL,Arsenal
JAN OBLAK,Atletico Madrid
ZLATAN IBRAHIMOVIC,Manchester United
PIERRE-EMERICK AUBAMEYANG,Borussia Dortmund
HUGO LLORIS,Tottenham
DIEGO GODIN,Atletico Madrid
MATS HUMMELS,Bayern Munich
THIAGO SILVA,PSG
ARJEN ROBBEN,Bayern Munich
LEONARDI BONUCCI,Milan
THIAGO,Bayern Munich
PAULO DYBALA,Juventus
ANTOINE GRIEZMANN,Atletico Madrid
THIBAUT COURTOIS,Chelsea
SERGIO AGUERO,Manchester City
GARETH BALE,Real Madrid
GIORGIO CHIELLINI,Juventus
KEVIN DE BRUYNE,Manchester City
ALEXIS SANCHEZ,ARSENAL
GIANLUIGI BUFFON,Juventus
LUKA MODRIC,Real Madrid
DAVID DE GEA,Manchester United
GONZALO HIGUAIN,Juventus
TONI KROOS,Real Madrid
EDEN HAZARD,Chelsea
SERGIO RAMOS,Real Madrid
ROBERT LEWANDOWSKI,Bayern Munich
MANUEL NEUER,Bayern Munich
LUIS SUAREZ,Barcelona
NEYMAR,PSG
LIONEL MESSI,Barcelona
CRISTIANO RONALDO,Real Madrid
